"Envelope","Name","PostDate","FullType","FundCode","Description","Amount","Reference","GiftDescription","Value","SName","IndvID"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","01/06/2015","Check","1","General Pledge","$350.00","","draft 010515","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","02/05/2015","Check","1","General Pledge","$350.00","","draft 020515","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","03/05/2015","Check","1","General Pledge","$350.00","","draft 030515","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","04/08/2015","Check","1","General Pledge","$350.00","","draft 040515","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","04/19/2015","Check","1","General Pledge","$50.00","1340","","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","05/03/2015","Check","77","Pass Through","$500.00","1250","SM floor","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","05/08/2015","Check","1","General Pledge","$350.00","","draft 050515","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","06/05/2015","Check","1","General Pledge","$350.00","","draft 060515","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","07/07/2015","Check","1","General Pledge","$350.00","","draft 070515","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","08/05/2015","Check","1","General Pledge","$350.00","","draft 080515","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","09/08/2015","Check","1","General Pledge","$350.00","","draft 090515","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","10/05/2015","Check","1","General Pledge","$350.00","","draft 100515","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","11/06/2015","Check","1","General Pledge","$350.00","","draft 110515","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","12/07/2015","Check","1","General Pledge","$50.00","","draft 120515","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","12/07/2015","Check","1","General Pledge","$300.00","","draft 120515","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","01/04/2015","Check","1","General Pledge","$50.00","1326","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","01/11/2015","Check","1","General Pledge","$50.00","1327","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","01/25/2015","Check","1","General Pledge","$100.00","1249","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","02/09/2015","Check","1","General Pledge","$50.00","1329","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","02/15/2015","Check","1","General Pledge","$50.00","1258","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","02/22/2015","Check","1","General Pledge","$50.00","1330","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","03/01/2015","Check","1","General Pledge","$50.00","1265","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","03/09/2015","Check","1","General Pledge","$50.00","1266","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","03/16/2015","Check","1","General Pledge","$50.00","1267","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","03/22/2015","Check","1","General Pledge","$50.00","1333","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","03/29/2015","Check","1","General Pledge","$50.00","1335","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","04/05/2015","Check","1","General Pledge","$50.00","1336","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","04/12/2015","Check","1","General Pledge","$50.00","1338","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","04/19/2015","Check","1","General Pledge","$50.00","1339","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","04/27/2015","Check","1","General Pledge","$50.00","1271","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","05/03/2015","Check","1","General Pledge","$50.00","1272","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","05/17/2015","Check","1","General Pledge","$50.00","1280","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","05/24/2015","Check","1","General Pledge","$50.00","1345","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","05/31/2015","Check","1","General Pledge","$50.00","1281","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","06/07/2015","Check","1","General Pledge","$50.00","1347","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","06/14/2015","Check","1","General Pledge","$50.00","1283","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","06/21/2015","Check","1","General Pledge","$50.00","1284","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","07/05/2015","Check","1","General Pledge","$50.00","1290","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","07/19/2015","Check","1","General Pledge","$50.00","1349","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","08/09/2015","Check","1","General Pledge","$50.00","1295","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","08/16/2015","Check","1","General Pledge","$50.00","1298","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","08/16/2015","Check","1","General Pledge","$50.00","1351","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","08/30/2015","Check","1","General Pledge","$50.00","1353","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","09/20/2015","Check","1","General Pledge","$100.00","1354","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","09/20/2015","Check","1","General Pledge","$50.00","1302","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","09/28/2015","Check","1","General Pledge","$50.00","1304","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","10/11/2015","Check","1","General Pledge","$50.00","1305","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","10/12/2015","Cash","1","General Pledge","$100.00","","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","10/18/2015","Check","1","General Pledge","$50.00","1306","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","10/25/2015","Check","1","General Pledge","$50.00","1307","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","11/01/2015","Check","1","General Pledge","$50.00","1314","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","11/08/2015","Check","1","General Pledge","$50.00","1315","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","11/15/2015","Check","1","General Pledge","$50.00","1317","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","11/29/2015","Check","1","General Pledge","$50.00","1358","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","12/06/2015","Check","1","General Pledge","$50.00","1318","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","12/21/2015","Cash","1","General Pledge","$100.00","","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","12/29/2015","Check","1","General Pledge","$100.00","1319","","$0.00","REDACTED","REDACTED"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","12/29/2015","Check","11","Christmas Offering","$100.00","1359","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","01/20/2015","Check","1","General Pledge","$90.00","5854","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","01/25/2015","Check","1","General Pledge","$30.00","5860","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","02/01/2015","Check","1","General Pledge","$30.00","5867","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","02/15/2015","Check","1","General Pledge","$60.00","5871","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","03/09/2015","Check","1","General Pledge","$90.00","5879","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","03/16/2015","Check","1","General Pledge","$30.00","5881","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","03/29/2015","Check","1","General Pledge","$60.00","5883","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","04/05/2015","Check","1","General Pledge","$30.00","5886","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","04/05/2015","Check","10","Easter Offering","$4.00","","","$0.00","REDACTED","REDACTED"
