"Envelope","Name","PostDate","FullType","FundCode","Description","Amount","Reference","GiftDescription","Value","SName","IndvID"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","04/21/2019","Check","1","General Pledge","$10.00","1487","","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","01/07/2019","ACH","1","General Pledge","$430.00","","draft 010519","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","02/05/2019","ACH","1","General Pledge","$430.00","","draft 020519","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","03/05/2019","ACH","1","General Pledge","$430.00","","draft 030519","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","04/05/2019","ACH","1","General Pledge","$430.00","","draft 040519","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","01/25/2019","Check","77","Pass Through","$250.00","3260","parish weekend exp","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","01/27/2019","Check","1","General Pledge","$500.00","3261","","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","02/10/2019","Check","1","General Pledge","$500.00","3265","","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","03/03/2019","Check","17","Rector Disc Fund","$500.00","3269","Akins","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","04/21/2019","Check","1","General Pledge","$300.00","3328","","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","04/21/2019","Check","17","Rector Disc Fund","$500.00","3318","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","01/20/2019","Check","1","General Pledge","$450.00","2931","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","02/03/2019","Check","1","General Pledge","$900.00","2954","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","02/17/2019","Check","1","General Pledge","$450.00","2965","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","02/24/2019","Check","1","General Pledge","$450.00","2967","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","03/10/2019","Check","1","General Pledge","$450.00","2978","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","03/18/2019","Check","1","General Pledge","$450.00","2986","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","03/31/2019","Check","1","General Pledge","$450.00","2997","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","04/21/2019","Check","1","General Pledge","$450.00","3026","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","01/07/2019","Check","1","General Pledge","$45.00","3050","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","01/13/2019","Check","1","General Pledge","$45.00","3055","","$0.00","REDACTED","REDACTED"
