"Envelope","Name","FundCode","Description","NonPledgePTD","Pledge","CPledgePTD","OPledgePTD","PrePay","Balance","SName","Year"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","1","General Pledge","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","1","General Pledge","$0.00","$4,200.00","$4,200.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","33","Harris Scholarship","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","108","Restoration & Repair Fund","$250.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","1","General Pledge","$1,700.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","10","Easter Offering","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","1","General Pledge","$200.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","1","General Pledge","$500.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","17","Rector Disc Fund","$1,300.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","48","Music","$300.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","6edf47f1f021b2d84076c81f8a4b6fd4","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","98d2512484c067c9914cd341e6bdace4","1","General Pledge","$400.00","$9,600.00","$9,600.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","98d2512484c067c9914cd341e6bdace4","5","Memorial Fund","$25.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","1","General Pledge","$1,295.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","b82e020fcec82644ad7ea794f1806cc8","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
